date;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter];hourIndex;weekDayIndex
2022-04-16 20:00:00 +0000;9;5;4.3;0;0;20;7
2022-04-17 13:00:00 +0000;31;18;12.4;1;0;13;1
2022-04-17 14:00:00 +0000;1629;951;1146.6;48;2;14;1
2022-04-17 15:00:00 +0000;3483;2034;2473.1;103;1;15;1
2022-04-17 18:00:00 +0000;479;280;362.5;15;0;18;1
2022-04-17 19:00:00 +0000;5505;3215;4051.5;170;1;19;1
2022-04-17 20:00:00 +0000;52;30;33.6;1;1;20;1
2022-04-18 08:00:00 +0000;27;16;19.0;1;0;8;2
2022-04-18 09:00:00 +0000;10;6;4.1;0;0;9;2
2022-04-18 10:00:00 +0000;56;33;41.3;2;1;10;2
2022-04-18 12:00:00 +0000;16;9;6.7;0;0;12;2
2022-04-18 13:00:00 +0000;17;10;12.2;1;0;13;2
2022-04-18 17:00:00 +0000;4988;2913;2980.1;125;3;17;2
2022-04-18 18:00:00 +0000;414;242;305.5;13;1;18;2
2022-04-18 19:00:00 +0000;8;5;3.2;0;0;19;2
2022-04-18 20:00:00 +0000;3160;1846;1742.8;73;3;20;2
2022-04-18 21:00:00 +0000;1605;937;1080.4;45;1;21;2
2022-04-18 22:00:00 +0000;75;44;52.6;2;0;22;2
2022-04-22 12:00:00 +0000;27;16;13.8;1;0;12;6
2022-04-22 13:00:00 +0000;84;49;57.5;2;1;13;6
2022-04-22 14:00:00 +0000;30;18;21.6;1;0;14;6
2022-04-22 15:00:00 +0000;2381;1391;1272.4;53;1;15;6
2022-04-22 16:00:00 +0000;4377;2557;3466.2;145;3;16;6
2022-04-22 17:00:00 +0000;112;65;72.1;3;1;17;6
2022-04-22 18:00:00 +0000;3685;2152;2672.4;112;2;18;6
2022-04-22 19:00:00 +0000;17;10;10.6;0;1;19;6
2022-04-22 20:00:00 +0000;9;5;7.4;0;0;20;6
2022-04-23 12:00:00 +0000;9;5;9.1;0;0;12;7
2022-04-23 13:00:00 +0000;20;12;9.4;0;0;13;7
2022-04-23 14:00:00 +0000;1433;837;825.5;35;1;14;7
2022-04-23 15:00:00 +0000;2747;1605;1590.8;67;0;15;7
2022-04-23 16:00:00 +0000;3203;1871;2483.2;104;3;16;7
2022-04-23 17:00:00 +0000;24;14;10.8;0;0;17;7
2022-04-23 19:00:00 +0000;3375;1971;2189.3;92;3;19;7
2022-04-23 20:00:00 +0000;72;42;48.8;2;1;20;7
2022-04-23 21:00:00 +0000;4;2;1.6;0;0;21;7
2022-04-23 22:00:00 +0000;8;5;5.4;0;0;22;7
2022-04-24 00:00:00 +0000;88;187;59.7;2;1;0;1
2022-04-24 01:00:00 +0000;11;255;5.5;0;0;1;1
2022-04-24 05:00:00 +0000;32;790;20.9;1;0;5;1
2022-04-24 13:00:00 +0000;303;776;209.9;9;0;13;1
2022-04-24 14:00:00 +0000;93;1465;59.3;2;0;14;1
2022-04-24 16:00:00 +0000;16;321;10.9;0;0;16;1
