sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-15 21:42:18 +0000,2022-03-15 21:44:01 +0000,km,0.04567999999999938
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-15 22:15:27 +0000,2022-03-15 22:24:13 +0000,km,0.3185299999999952
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-15 22:26:06 +0000,2022-03-15 22:36:08 +0000,km,0.6503899999999739
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-15 22:36:08 +0000,2022-03-15 22:46:04 +0000,km,0.6366699999999801
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-15 22:53:58 +0000,2022-03-15 22:54:01 +0000,km,0.006659999999999854
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-15 23:09:01 +0000,2022-03-15 23:09:06 +0000,km,0.005400000000000546
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-15 23:18:24 +0000,2022-03-15 23:18:52 +0000,km,0.023220000000000254
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-16 02:17:31 +0000,2022-03-16 02:17:34 +0000,km,0.0071999999999998185
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-16 02:48:50 +0000,2022-03-16 02:58:08 +0000,km,0.050030000000001566
HKQuantityTypeIdentifierDistanceWalkingRunning,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x2838276b0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-16 03:00:11 +0000,2022-03-16 03:02:15 +0000,km,0.025779999999998835
